repo	sha	date	category	inserted	deleted	subject
aimgr	1a1c477c3b3b	2026-03-21	other: product/behavior	772	171	Cut AIM over to pooled account selection
aimgr	9f150f05dfb0	2026-03-22	other: product/behavior	2	33	Remove status usage detail section
aimgr	2544e4854402	2026-04-17	other: docs/plans	0	1857	Delete stale aimgr planning docs
aimgr	7e2999196e35	2026-05-30	extra state	1789	1432	Cut over Redis credentials to shared store
aimgr	1ed84f0697b7	2026-07-23	other: product/behavior	174	298	Simplify combined account status output
aimgr	32ad1d9aac44	2026-07-23	other: product/behavior	255	71	Simplify account usage selection and summaries
aimgr	c56e1a049450	2026-07-26	other: product/behavior	44	727	Remove managed Claude outer sandbox
aimgr	1623176cb61b	2026-08-02	unrequested feature	6138	13958	Simplify single-operator AIM runtime
aimgr	2d9fe9e05f52	2026-08-03	other: product/behavior	595	2494	Simplify Claude credential authority
aimgr	fa2deb94b550	2026-08-08	other: revert	82	5384	revert: remove abandoned prime-agent-ops experiment
aimgr	1c3e44bc505a	2026-08-22	abstraction/wrapper/controller	5	2	fix(install): replace local wrappers atomically
aimgr	62f7efc36bed	2026-08-25	retry/repair machinery	11	3	mcp: raise the output cap to 400k, drop repair from the allowlist, steer aim_exec to cheap reads
aimgr	8bd4de758981	2026-08-25	abstraction/wrapper/controller	312	23	mcp: kill the process group on timeout, bound machine-info commands, wait for the tailnet bind
aimgr	e6e26620b13f	2026-08-31	outside-task change	5	31	revert: remove unintended Prime launch pinning
aimgr	855a860f95fc	2026-09-18	extra state	871	258	Make cr keep the conversation and stop refusing real threads; remove crr
arch_skill	bb043967fa48	2026-01-18	other: product/behavior	13	9	arch_skill: stop re-asking consolidation scope
arch_skill	fc2203a1977f	2026-01-22	abstraction/wrapper/controller	0	69	Remove arch-audit-subagent prompt
arch_skill	f3e227093f18	2026-01-28	other: docs/plans	77	102	docs: install via make install; remove unused files
arch_skill	6ab759ed4c16	2026-02-16	proof ceremony	5	2	Simplify arch-open-pr check gating
arch_skill	632ccec797d1	2026-03-07	proof ceremony	93	214	Simplify review and verification flow
arch_skill	3054a24b1c01	2026-04-11	other: docs/plans	3	5	docs: remove audit-loop clean-tree gate
arch_skill	da11a0815863	2026-04-11	abstraction/wrapper/controller	0	0	chore: remove generated audit-loop bytecode
arch_skill	676702624f8a	2026-04-13	other: docs/plans	212	217	Simplify auto-plan state handling
arch_skill	dae0ee04bdf5	2026-04-20	fallback/compat path	4612	1231	Make arm-time hook install inescapable; drop legacy fallback surface
arch_skill	988650666e9a	2026-05-14	extra state	505	819	Simplify eli10 tables and add codex cleanup
arch_skill	ca7cfb7c80c8	2026-05-25	abstraction/wrapper/controller	1039	14350	Remove arch hook controllers
arch_skill	3ff7e0566d9e	2026-06-07	abstraction/wrapper/controller	79	1505	Remove code-review skill
arch_skill	e8d993f0d589	2026-06-26	abstraction/wrapper/controller	2816	6	Add cynical cruft removal skill
arch_skill	d55c67dd19ff	2026-07-01	other: docs/plans	1014	1072	Add plan-conductor skill, retire plan-swarm
arch_skill	7ba7e3cad55b	2026-07-11	abstraction/wrapper/controller	5	1659	Retire skill-flow from installed skills
arch_skill	0b6612f6283c	2026-08-08	extra state	5	2182	Revert "checkpoint: preserve prime-agent-ops experiment before rollback"
arch_skill	f79b6f163b2f	2026-08-27	other: product/behavior	0	1	amir-publish: remove claw from the machine list
arch_skill	26869c18dba5	2026-09-04	abstraction/wrapper/controller	40	46	Remove goal-loop from default installs and fleet routing
arch_skill	2d87f8fd1cc2	2026-09-16	abstraction/wrapper/controller	5	101	Remove the aim-rotation doctrine and its skill references
lessons_studio	d13e190abf02	2026-04-26	other: docs/plans	0	7830	Delete draft reports for TRACK_05: Blind Concept Baseline and Track Architecture, as they are not to be landed without user ratification. These files contained foundational concepts and architectural plans for the non-existent TRACK_05, ensuring clarity on the curriculum's current state and future direction.
lessons_studio	15d7fc4f704d	2026-06-10	proof ceremony	7247	13973	Purge LESSON_04-03-01 and renumber Section 04-03
lessons_studio	a876a9c5bb06	2026-07-02	other: product/behavior	456	4699	A1: purge deck-facts unit — Track 1 collapses to 2 units (72 lessons)
lessons_studio	d6bb1ecf22f8	2026-07-04	abstraction/wrapper/controller	0	16	Delete retired psmobile worktree setup script (pointed at deleted app-sync)
